AGENCY_AREA,CATCHMENT,WATERBODY_TYPE,WATERBODY_TYPE_DESCRIPTION,WATER_BODY,SITE_ID,SITE_VERSION,NGR_PREFIX,EASTING,NORTHING,NGR_10_FIG,FULL_EASTING,FULL_NORTHING,WFD_WATERBODY_ID,SLOPE,DIST_FROM_SOURCE,SOURCE_ALTITUDE,ALKALINITY,BASE_DATA_DATE,MIN_SAMPLE_DATE,MAX_SAMPLE_DATE,COUNT_OF_SAMPLES,ECN_SITE_MPHYTE
MIDLANDS - WEST,TERN (US),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TERN,158131,1,SJ,55233,09797,SJ5523309797,355233,309797,GB109054049680,0.5,56.630,115.0,172.7,01/03/2011,13/07/2011,01/09/2014,2,False
SOUTH WEST - NORTH WESSEX,CAM BK/WELLOW BK,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MIDFORD BROOK,7637,1,ST,76300,61100,ST7630061100,376300,161100,GB109053022271,2.8,20.600,162.0,248.1,01/01/1995,25/08/2002,15/09/2006,3,False
NORTH EAST - YORKSHIRE,ROTHER (RIDINGS),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ROTHER,1283,2,SK,40019,74895,SK4001974895,440019,374895,GB104027057771,2.6,17.700,145.0,150.3,01/01/1995,22/07/2011,05/09/2013,4,False
NORTH WEST - SOUTH,DANE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WHEELOCK,161099,1,SJ,72424,59526,SJ7242459526,372424,359526,GB112068055420,5.8,17.700,110.0,178.0,01/01/2013,22/08/2013,03/08/2016,2,False
NORTH EAST - NORTH EAST,LOWER WEAR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BLACKDENE BECK,155636,1,NZ,27647,47960,NZ2764747960,427647,547960,GB103024077622,25.0,1.500,125.0,150.0,01/06/2012,31/08/2011,31/08/2011,1,False
MIDLANDS - CENTRAL,REA (UT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BOURN BROOK,51382,2,SP,03802,83163,SP0380283163,403802,283163,GB104028042540,6.5,5.900,,,,16/08/2011,16/08/2011,1,False
NORTH WEST - SOUTH,DANE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,PUDDINGLAKE BK,68380,2,SJ,67609,70641,SJ6760970641,367609,370641,GB112068060220,4.0,5.900,51.0,181.6,04/10/2012,14/08/2013,14/08/2013,1,False
ANGLIAN - NORTHERN,LOWER NENE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SOUTH HOLLAND MAIN DRAIN,184666,1,TF,27752,16040,TF2775216040,527752,316040,GB105032050400,0.1,9.000,4.0,376.0,09/09/2019,18/07/2016,18/07/2016,1,False
NORTH EAST - YORKSHIRE,DON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,DON,118,2,SE,15792,02415,SE1579202415,415792,402415,GB104027057500,2.0,5.100,,10.1,01/01/1995,18/07/2005,25/07/2008,4,False
SOUTH WEST - NORTH WESSEX,PARRETT,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,PARRETT,151597,1,ST,42421,26377,ST4242126377,342421,126377,GB108052015470,0.5,28.000,150.0,243.0,04/10/2012,16/09/2003,01/09/2016,4,False
MIDLANDS - WEST,BADSEY BROOK (LS),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BADSEY BROOK (BROADWAY BROOK),89739,2,SP,06240,44940,SP0624044940,406240,244940,,,,,,,08/07/1999,02/08/2000,3,False
ANGLIAN - CENTRAL,"LT OUSE, SAPISTON, THET",WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LITTLE OUSE RIVER,92432,1,TL,85400,83400,TL8540083400,585400,283400,GB105033043400,0.4,26.000,,,,22/09/1994,06/07/2011,12,False
MIDLANDS - CENTRAL,PENK (UT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BILBROOK/MOAT BROOK,47670,2,SJ,87500,04300,SJ8750004300,387500,304300,GB104028046680,2.3,5.750,137.0,192.0,04/10/2012,06/09/2006,28/07/2008,3,False
SOUTHERN - KENT & E. SUSSEX,EDEN (KENT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,EDEN (KENT),44308,2,TQ,46024,45955,TQ4602445955,546024,145955,GB106040018160,0.8,21.200,142.0,114.8,01/01/1995,10/09/2007,18/08/2021,5,False
SOUTH WEST - NORTH WESSEX,SOMERSET FROME/MELLS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MELLS,167526,1,ST,73070,48985,ST7307048985,373070,148985,GB109053022020,2.4,12.100,175.0,264.8,19/12/2013,17/09/2013,29/06/2015,2,False
MIDLANDS - EAST,WREAKE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BURTON BROOK (EYE),158073,1,SK,77977,17875,SK7797717875,477977,317875,GB104028047500,2.0,3.300,98.0,198.0,01/03/2013,29/09/2011,15/06/2018,3,False
ANGLIAN - NORTHERN,CENTRAL LINCS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,OLD RIVER SLEA,155406,1,TF,05568,45894,TF0556845894,505568,345894,GB105030056670,,,,,,04/06/2010,04/06/2010,1,False
ANGLIAN - EASTERN,WENSUM,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SWANNINGTON BECK,155172,1,TG,14279,18709,TG1427918709,614279,318709,GB105034051070,1.6,7.600,40.0,243.0,04/10/2012,21/07/2010,21/07/2010,1,False
NORTH EAST - YORKSHIRE,OUSE  (DALES),WBDY,DYKE: Natural or artificial watercourse primarily used for land drainage,BISHOP DYKE,206851,1,SE,50344,33691,SE5034433691,450344,433691,GB104027063660,0.8,3.300,9.5,,,31/07/2021,31/07/2021,1,False
SOUTH WEST - CORNWALL,TAMAR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TAMAR,157809,1,SS,27265,02511,SS2726502511,227265,102511,GB108047008050,1.5,,,,,25/08/2011,25/08/2011,1,False
NORTH EAST - NORTH EAST,BLYTH (NORTHUMBRIA),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,FENWICK BURN,165963,1,NZ,05309,72795,NZ0530972795,405309,572795,GB103022076880,10.4,4.800,205.0,235.0,25/02/2014,12/07/2013,16/07/2015,2,False
ANGLIAN - EASTERN,WAVENEY (1),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WAVENEY,92476,1,TM,46500,91100,TM4650091100,646500,291100,,,,,,,11/08/1994,14/08/1995,2,False
THAMES - WEST,CHERWELL AND RAY (OXON),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LANGFORD BROOK,92620,1,SP,57814,21191,SP5781421191,457814,221191,GB106039030140,1.4,10.000,,,,01/07/1994,20/07/2012,13,False
SOUTHERN - SOLENT & S. DOWNS,NEW FOREST,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LYMINGTON,92709,2,SU,31700,01400,SU3170001400,431700,101400,,1.1,15.500,,,,30/09/1996,30/09/1996,1,False
NORTH WEST - NORTH,DERWENT (CUMBRIA),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,DERWENT (CUMBRIA),98083,2,NY,10000,31150,NY1000031150,310000,531150,,,,,,,22/08/1997,22/08/1997,1,False
SOUTHERN - KENT & E. SUSSEX,GREAT STOUR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,GREAT STOUR,92689,2,TR,17600,59900,TR1760059900,617600,159900,,0.6,56.000,,,,28/09/1994,28/09/1994,1,False
MIDLANDS - CENTRAL,BOURNE (UT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BOURNE BROOK,48112,2,SP,27629,89202,SP2762989202,427629,289202,GB104028042460,6.7,7.800,,181.2,01/01/1995,12/08/2005,12/08/2005,1,False
THAMES - WEST,EVENLODE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,EVENLODE,156721,1,SP,43920,11596,SP4392011596,443920,211596,GB106039029880,1.1,53.000,,,,03/08/2011,03/08/2011,1,False
NORTH WEST - NORTH,RIBBLE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,FORNAH GILL,159589,1,SD,83004,67731,SD8300467731,383004,467731,GB112071065630,28.5,2.600,360.0,142.9,01/01/2013,03/09/2012,03/09/2012,1,False
ANGLIAN - NORTHERN,WELLAND,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,GWASH,133687,1,TF,04200,10400,TF0420010400,504200,310400,GB105031050610,1.5,35.750,180.0,225.0,06/02/2014,17/08/2005,15/07/2015,5,False
SOUTHERN - SOLENT & S. DOWNS,LYMINGTON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,HIGHLAND WATER,92715,2,SU,27700,05800,SU2770005800,427700,105800,,3.0,8.500,,,,01/10/1996,01/10/1996,1,False
SOUTHERN - KENT & E. SUSSEX,OUSE (SUSSEX),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BEDDINGHAM BROOKS,42555,2,TQ,43320,05990,TQ4332005990,543320,105990,GB107041012510,,,,,,22/05/2002,26/07/2002,2,False
THAMES - SOUTH EAST,LODDON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LYDE,36025,1,SU,69563,54251,SU6956354251,469563,154251,GB106039017100,3.3,5.231,83.0,250.0,01/01/1995,18/07/2002,31/07/2018,6,False
NORTH WEST - NORTH,EDEN (NW - NORTH),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,HOFF BECK,159557,1,NY,68535,14757,NY6853514757,368535,514757,GB102076070630,6.0,4.300,215.0,224.3,01/01/2013,09/08/2012,01/09/2015,2,False
ANGLIAN - NORTHERN,LOWER NENE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MORTON'S LEAM,157600,1,TL,32087,99292,TL3208799292,532087,299292,GB105032050382,0.1,15.600,3.0,196.0,12/11/2013,12/07/2011,12/07/2011,1,False
MIDLANDS - WEST,WYE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TIPPETS BROOK,45343,2,SO,43902,55179,SO4390255179,343902,255179,GB109055036640,2.2,9.600,150.0,242.7,01/01/1995,04/07/2013,16/08/2016,2,False
ANGLIAN - NORTHERN,WELLAND,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WELLAND,92459,1,TF,17100,08100,TF1710008100,517100,308100,GB105031050680,0.6,80.200,161.0,205.0,04/10/2012,11/08/1995,11/07/2011,10,False
SOUTHERN - SOLENT & S. DOWNS,ITCHEN,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ITCHEN NAVIGATION,110181,2,SU,47810,26410,SU4781026410,447810,126410,GB107042022580,1.4,25.210,83.0,233.0,04/10/2012,30/07/2003,16/07/2009,14,False
THAMES - SOUTH EAST,LODDON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,HART,36108,1,SU,74854,59898,SU7485459898,474854,159898,GB106039017170,1.1,17.200,181.0,133.0,01/01/1995,03/08/2011,08/07/2014,2,False
NORTH EAST - NORTH EAST,TEES,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BASSLETON BECK,203106,1,NZ,45257,14976,NZ4525714976,445257,514976,GB103025072595,,,,,,10/08/2021,10/08/2021,1,False
MIDLANDS - WEST,SEVERN (BEWDLEY-TEWKESBURY),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,HATFIELD BROOK,51036,2,SO,84958,49096,SO8495849096,384958,249096,GB109054039760,0.6,4.300,30.0,270.3,01/01/1995,30/08/2013,30/08/2013,1,False
ANGLIAN - NORTHERN,WELLAND,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WELLAND,151818,1,SP,87608,92844,SP8760892844,487608,292844,GB105031050580,,,,,,24/08/2008,24/08/2008,1,False
ANGLIAN - CENTRAL,IVEL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CAMPTON BROOK,159848,1,TL,12809,37699,TL1280937699,512809,237699,GB105033037750,0.5,19.000,95.0,224.4,28/02/2013,23/08/2012,29/08/2014,2,False
SOUTH WEST - DEVON,EXE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,EXE,153416,1,SS,93530,01550,SS9353001550,293530,101550,GB108045015050,,,,,,01/09/2009,17/08/2010,2,False
ANGLIAN - EASTERN,WID,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WID,159534,1,TL,68800,02100,TL6880002100,568800,202100,GB105037033900,0.8,21.500,70.0,186.9,05/03/2014,27/09/2012,24/06/2015,2,False
MIDLANDS - CENTRAL,SOWE (LS),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SOWE,48387,2,SP,33170,72640,SP3317072640,433170,272640,GB109054044540,1.3,30.000,149.0,185.0,01/01/1995,10/08/2012,28/09/2015,2,False
MIDLANDS - EAST,WYE (LT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WYE (LT),92882,2,SK,24800,65800,SK2480065800,424800,365800,GB104028057820,0.5,31.200,473.0,200.0,01/03/2013,06/08/1998,25/06/2013,5,False
SOUTH WEST - CORNWALL,SEATON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TREMAR STREAM,155947,1,SX,25900,68000,SX2590068000,225900,068000,GB108048002320,,,,,,13/09/2010,13/09/2010,1,False
NORTH EAST - NORTH EAST,LOWER SOUTH TYNE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SOUTH TYNE,1779,2,NY,78400,64200,NY7840064200,378400,564200,GB103023075530,27.8,47.800,800.0,85.0,01/01/1995,14/07/2013,14/07/2013,1,False
NORTH WEST - NORTH,PETTERIL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,PETTERIL,63387,2,NY,41308,56415,NY4130856415,341308,556415,GB102076074030,5.0,32.000,259.0,152.4,01/01/1995,23/06/2010,17/08/2021,3,False
MIDLANDS - WEST,COUND (US),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BETCHCOTT TRIBUTARY,160826,1,SO,46961,99114,SO4696199114,346961,299114,GB109054049270,17.2,5.500,460.0,80.0,12/02/2014,23/09/2013,23/09/2013,1,False
THAMES - WEST,THAMES SOURCE TO TEDDINGTON (W SECTION),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,KEY,159806,1,SU,09595,92177,SU0959592177,409595,192177,GB106039023650,0.5,13.980,90.0,205.0,01/02/2013,22/08/2012,25/07/2019,3,False
SOUTHERN - KENT & E. SUSSEX,PEVENSEY HAVEN,WBDY,DYKE: Natural or artificial watercourse primarily used for land drainage,WHITE DYKE,151799,2,TQ,59765,08300,TQ5976508300,559765,108300,GB107041012420,,,,,,26/08/2008,26/08/2008,1,False
SOUTH WEST - SOUTH WESSEX,LOWER & MIDDLE H AVON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,DITCHEND BROOK,155534,1,SU,17345,13934,SU1734513934,417345,113934,GB108043015770,6.7,6.500,105.0,15.0,04/10/2012,23/08/2011,23/08/2011,1,False
ANGLIAN - EASTERN,STIFFKEY (2),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,STIFFKEY,155173,1,TF,91878,33954,TF9187833954,591878,333954,GB105034055840,2.5,15.500,64.0,261.1,04/10/2012,14/07/2010,14/07/2010,1,False
ANGLIAN - NORTHERN,EAST LINCS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LYMN,97745,1,TF,35940,70340,TF3594070340,535940,370340,GB105030062430,,,,,,19/07/2004,11/09/2007,2,False
MIDLANDS - WEST,REA (US),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,REA,156678,1,SO,64028,69228,SO6402869228,364028,269228,GB109054044260,2.2,35.100,296.0,186.0,31/12/2009,28/08/2013,09/09/2016,2,False
SOUTHERN - KENT & E. SUSSEX,EAST ROTHER,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,NEWMILL CHANNEL,142667,2,TQ,86721,32084,TQ8672132084,586721,132084,GB107040013630,0.4,7.600,104.0,116.1,04/10/2012,07/08/2012,07/08/2012,1,False
NORTH EAST - YORKSHIRE,DERWENT (DALES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,HERTFORD,157617,1,TA,00900,80271,TA0090080271,500900,480271,GB104027067840,0.5,11.500,,,,25/07/2011,28/07/2021,2,False
SOUTHERN - KENT & E. SUSSEX,ROYAL MILITARY CANAL (1),WBCN,CANAL: Artificial water course primarily used for navigation,ROYAL MILITARY CANAL,157757,1,TR,01280,32781,TR0128032781,601280,132781,GB107040019700,0.2,12.100,2.0,175.0,01/09/2019,13/09/2012,06/09/2018,2,False
ANGLIAN - CENTRAL,CAM LODES,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,REACH LODE,56034,1,TL,55663,67842,TL5566367842,555663,267842,GB105033042720,0.1,5.000,16.0,201.7,01/01/1995,29/07/2013,18/09/2015,2,False
THAMES - WEST,KENNET,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,KENNET,151047,1,SU,42484,67010,SU4248467010,442484,167010,GB106039023172,,,,,,23/09/2008,23/09/2008,1,False
THAMES - WEST,EVENLODE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BLEDINGTON BROOK,156723,1,SP,22674,24303,SP2267424303,422674,224303,GB106039030000,5.5,3.600,,,,05/08/2011,05/08/2011,1,False
SOUTH WEST - NORTH WESSEX,TONE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TONE,170888,1,ST,33639,27666,ST3363927666,333639,127666,GB540805210900,,,,,,21/03/2014,12/09/2014,2,False
ANGLIAN - CENTRAL,NORFOLK RIVERS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,HEACHAM RIVER,161859,1,TF,69375,37271,TF6937537271,569375,337271,GB105033053480,2.0,5.800,25.0,223.6,04/02/2014,25/09/2013,10/09/2014,2,False
SOUTH WEST - CORNWALL,FOWEY,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,PONT PILL,155688,1,SX,17145,55307,SX1714555307,217145,055307,GB108048001340,18.8,2.000,125.0,65.6,04/10/2012,25/08/2011,25/08/2011,1,False
THAMES - SOUTH EAST,THAMES SOURCE TO TEDDINGTON (SE SECTION),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,DATCHET COMMON BROOK,94101,1,TQ,00356,75849,TQ0035675849,500356,175849,GB106039023520,1.7,11.300,,,,22/08/2003,22/08/2003,1,False
NORTH WEST - SOUTH,GOWY,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,GOWY,92308,2,SJ,44900,71000,SJ4490071000,344900,371000,,0.8,28.000,,,,16/08/1994,13/07/1995,2,False
ANGLIAN - NORTHERN,NORTH LINCS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ANCHOLME,157835,1,TA,00623,00831,TA0062300831,500623,400831,GB104029067520,,,,,,02/08/2011,02/08/2011,1,False
NORTH WEST - NORTH,RIBBLE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,RIBBLE (NW CENTRAL),159590,1,SD,81130,69514,SD8113069514,381130,469514,GB112071065640,7.0,20.800,525.0,80.0,27/11/2013,30/09/2013,13/08/2015,2,False
THAMES - WEST,THAME,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BEAR BROOK,183248,1,SP,79862,13996,SP7986213996,479862,213996,GB106039030380,2.0,13.500,120.0,251.0,23/11/2016,27/07/2016,27/07/2016,1,False
SOUTH WEST - DEVON,AXE (DEVON),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,FORTON BROOK,159684,1,ST,33761,04639,ST3376104639,333761,104639,GB108045014820,3.6,5.000,95.0,191.2,01/01/2013,09/08/2012,09/08/2012,1,False
NORTH EAST - YORKSHIRE,ROTHER (RIDINGS),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ROTHER,1444,2,SK,40875,63634,SK4087563634,440875,363634,GB104027052280,3.8,3.200,139.0,133.0,01/01/1995,24/08/2012,25/08/2017,3,False
SOUTH WEST - CORNWALL,COBER,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,COBER,10894,1,SW,65790,29120,SW6579029120,165790,029120,GB108048001171,22.2,9.650,192.0,11.5,01/01/1995,19/09/2008,04/07/2014,4,False
NORTH EAST - YORKSHIRE,URE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,HOLBECK,177,2,SE,34583,66973,SE3458366973,434583,466973,GB104027064110,4.0,22.000,270.0,262.0,09/12/2013,18/07/2013,29/09/2017,3,False
SOUTH WEST - CORNWALL,CAMEL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CAMEL,92589,1,SX,04300,67300,SX0430067300,204300,067300,,,,,,,05/06/1995,22/08/1996,4,False
MIDLANDS - EAST,RYTON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ANSTON BROOK,52888,2,SK,52041,84014,SK5204184014,452041,384014,GB104028058210,3.0,6.500,105.0,132.5,01/01/1995,30/07/2013,08/07/2014,2,False
SOUTHERN - KENT & E. SUSSEX,EDEN (KENT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,EDEN (KENT),43620,2,TQ,44400,45950,TQ4440045950,544400,145950,GB106040018160,0.8,19.200,142.0,116.2,01/01/1995,20/07/2010,20/07/2010,1,False
MIDLANDS - WEST,STRINE (US),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,STRINE,102601,2,SJ,73500,19900,SJ7350019900,373500,319900,GB109054050160,,,,,,07/07/2004,07/07/2004,1,False
ANGLIAN - NORTHERN,WELLAND,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WEST GLEN,133684,1,TF,05053,12642,TF0505312642,505053,312642,GB105031050770,,,,,,18/08/2005,18/08/2005,1,False
NORTH EAST - NORTH EAST,REDE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WIND BURN,159381,1,NY,82109,97397,NY8210997397,382109,597397,GB103023075320,21.0,6.900,400.0,87.0,21/01/2014,15/08/2012,15/08/2012,1,False
THAMES - NORTH EAST,RIB,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,RIB,155148,1,TL,34486,34034,TL3448634034,534486,234034,GB106038040140,5.0,3.150,154.0,272.0,04/10/2012,26/08/2010,26/08/2010,1,False
ANGLIAN - NORTHERN,WELLAND,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,FINESHADE BROOK,160649,1,SP,98000,99800,SP9800099800,498000,299800,GB105031050510,3.8,5.000,113.0,263.0,06/02/2014,24/06/2013,17/07/2014,2,False
MIDLANDS - EAST,TRENT (LOWER),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,FLEDBOROUGH BECK,51732,2,SK,80024,72617,SK8002472617,480024,372617,GB104028058290,3.2,3.800,19.0,257.0,04/10/2012,20/06/2013,29/07/2014,2,False
ANGLIAN - CENTRAL,IVEL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,IVEL,133362,1,TL,19400,38500,TL1940038500,519400,238500,GB105033037760,,,,,,23/08/2005,05/07/2013,5,False
THAMES - SOUTH EAST,WEY (THAMES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WEY (NORTH),151559,1,SU,73119,40246,SU7311940246,473119,140246,GB106039017830,3.3,3.020,,,,25/07/2008,25/07/2008,1,False
NORTH WEST - SOUTH,WEAVER,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CHECKLEY BK,152857,1,SJ,74372,45665,SJ7437245665,374372,345665,GB112068055240,3.3,9.500,137.0,221.3,04/10/2012,08/09/2009,23/08/2011,2,False
MIDLANDS - WEST,FROME (LS),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,FROME,165968,1,SO,78042,05816,SO7804205816,378042,205816,GB109054032450,2.4,31.000,222.0,185.3,06/02/2014,07/08/2013,11/08/2015,2,False
ANGLIAN - EASTERN,WAVENEY (1),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WAVENEY,92475,1,TM,45200,91600,TM4520091600,645200,291600,,0.1,,,,,11/08/1994,14/08/1995,2,False
NORTH EAST - YORKSHIRE,COAST (SOUTH),WBDY,DYKE: Natural or artificial watercourse primarily used for land drainage,STREAM DYKE (HORNSEA MERE TRIB,165548,1,TA,20912,47447,TA2091247447,520912,447447,GB104026066620,3.0,7.500,22.0,233.0,31/01/2014,04/07/2013,22/09/2021,3,False
NORTH WEST - NORTH,HODDER,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,DUNSOP,68004,2,SD,66098,50074,SD6609850074,366098,450074,GB112071065360,6.0,10.000,,27.8,01/01/1995,21/07/2003,03/08/2004,2,False
THAMES - NORTH EAST,COLNE (THAMES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,GADE,157845,1,TL,05716,05576,TL0571605576,505716,205576,GB106039029860,2.0,11.000,120.0,254.5,01/01/2012,18/08/2011,18/08/2011,1,False
NORTH EAST - YORKSHIRE,HULL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SCORBOROUGH BECK,164406,1,TA,01469,45479,TA0146945479,501469,445479,GB104026066901,3.0,5.900,23.0,226.3,03/12/2013,14/06/2013,19/09/2018,3,False
ANGLIAN - NORTHERN,EAST LINCS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BLACK DYKE (LOUTH CANAL TRIB.),160390,1,TF,35075,92720,TF3507592720,535075,392720,GB104029062000,2.7,7.400,87.0,205.0,06/02/2014,18/07/2013,19/08/2014,2,False
NORTH EAST - NORTH EAST,"TWEED, TILL AND TRIBS",WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BOWMONT WATER,202913,1,NT,87794,33095,NT8779433095,387794,633095,GB102021072960,,,,,,01/07/2021,01/07/2021,1,False
SOUTHERN - KENT & E. SUSSEX,LITTLE STOUR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WINGHAM RIVER,157583,1,TR,25040,57529,TR2504057529,625040,157529,GB107040019570,0.1,5.800,13.0,318.0,01/01/2010,27/07/2011,27/07/2011,1,False
SOUTH WEST - NORTH WESSEX,BY BROOK,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,NORTH WRAXALL BROOK,155078,1,ST,83308,75791,ST8330875791,383308,175791,GB109053027460,9.5,3.000,140.0,248.0,04/10/2012,16/09/2010,16/09/2010,1,False
NORTH WEST - SOUTH,DEAN,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,HARROP BK,67988,2,SJ,93576,77903,SJ9357677903,393576,377903,GB112069061360,12.8,5.630,360.0,76.3,01/01/1995,04/07/2013,04/07/2013,1,False
SOUTH WEST - NORTH WESSEX,BY BROOK,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,NORTH WRAXALL BROOK,144346,1,ST,84250,74849,ST8425074849,384250,174849,GB109053027460,13.0,5.000,113.0,204.0,04/10/2012,21/09/2007,21/09/2007,1,False
